Title,Date,Review,Hotel_Name,X,Y
Nice place,ม.ค.2016,"First drink here, charming comfortable place, haven't been here in the evening yet. Didn't have any Chang beer but had a very nice singha instead.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Friendly and Relaxing Atmosphere,ก.ย.2014,"I have visited ""2 for the road"" several times now during my visits to the Jomtien area. I have always found the staff & management, courteous, knowledgable of the area, great to deal with. Service is always good and the atmosphere is very comfortable and relaxing.
The facility is clean and well looked after and they have a very good selection of cocktails and beverages to serve.
One of my favourite places to stop at in the Jomtien area.",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Bar tres sympathique.,None,"Un bar convivial et vraiment agreable.
Les cocktails sont excellents et le service parfait. Il ont du tres bon cafe egalement.
Ils louent moto et velo. C est pratique car le bar se trouve a 60 metres de la plage",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
Un bar sympa et convivial,ส.ค.2014,"Tres bien place dans le coeur de jomtien beach.
le 2 for the road passe de la tres bonne music et autres videos.
la barman tres sympathique realise de tres bons cocktails.
la clientele est internationale.
L ambiance est vraiment agreable",2fortheroadหาดจอมเทยนไทย,12.89398,100.87397
楽しい！,พ.ย.2018,"ウォーキングストリートの１番奥にあります。
スモークの演出があって焦らされた後空に放り出されます。空中で景色見る余裕のある方は綺麗ですよーー。
すっごく楽しいのですが、ご飯前の方が良いと思います。",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
Beware of the video conning!,ม.ค.2019,"The activity was great. The price was on higher side which costed 1200THB for 2 person.
The video of the whole activity could be bought at 250THB. Seeing the reviews of this activity on video, I had requested the person in charge there to show me the video(which he apparently transferred on the CD) on the CD on his computer screen. And again and again he kept showing us the live feed they had recorded.
So beware of being conned for the video!!",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
2sky,ม.ค.2018,"Очень крутой аттракцион!но цена слишком завышена!адреналин конечно обеспечен,причем нереальный!я долго была под впечатлением)",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
Vaihtelua,พ.ย.2018,"Tulihan kokeiltua sekin jännitys iltapuhteella, kun kaveri ei edellisellä kerralla ketään mukaansa saanut.",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
Great fun...,ก.ย.2018,This is one of best things in pattaya it looks scary but believe me it was just awesome...must do if u r in pattaya..,2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
Thrilling joyful ride! I love it!,ก.ค.2018,"We booked a voucher for this ride. Since my bf still has fiber cast on his left leg, i read all the guidelines, and good thing, it only says that the ride won't allow people with heart ailment and hypertension. So people in cast may ride? Yahooo! haha. Thus, we pushed thru. The sky rocket ball is a very good thrill-substitute for bungee jump. The part of free falling, is SUPER! I had a great laugh and time watching my bf having those I-Might-Die-Look and Scream. LOL. So for those ride-thrill-seeker, have a go for this.

Also, i recommend you avail for their HD video record for 250THB only. This is a once in a lifetime ride, so it will be fun to watch and reminisce those comical faces.",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
дорого,มี.ค.2018,"очень дорогой аттракцион. не стоящий своих денег.
ну для туристов не видавших страшных аттракционов мб да и составит впечатления, но для людей, которые видели уже что-то подобное лучше за такие деньги съездить в нормальных парк аттракционов. мое мнение",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
The G forces are real,ม.ค.2018,"It was really cool. Seeing it from the streets is really attractive, so we decided to give it a try. They say you reach 5g acceleration, 100 kmph and 50 meters of altitude. It certainly feels that way. Don't remember when I experienced more G forces :D

Basically G forces makes you forget about your altitude, and then, as the ball calms down you're like ""wow, I'm really high in the air, and the view is really nice"".

They don't let you take your gopro as they have their own. But the problem is you get the footage (which is really good) on a CD... A museum technology. Now I have this CD with my self for 2 weeks and don't know what to do with it. Hoping to find some ancient PC when I return from my trip. Bring your own USB stick and tell them to put the footage on it.",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
Amazing at night,ธ.ค.2017,"At the one end of the walking street you get the flashing lights and this ride. Well worth a watch people love it. All the light and you get to see people shot up into the air.
Must watch at night. Lots of fun",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
Never go after drink haha,ธ.ค.2017,"Just walk pass and seem interesting, feeling shoot and spinning around but not and scared was cool to try",2สกายพทยารอคเกตบอลไทย,12.92471,100.867577
สุดยอดซาวน่าแห่งพัทยา,ต.ค.2020,"ขออนุญาตรีวิวเนื่องจากไปใช้บริการแล้วประทับใจมาก ให้เต็ม
313 ซาวน่าเป็นร้านบริการตามชื่อเลยค่ะ มีซาวน่า สตีม สระว่ายน้ำ บ่อแช่น้ำร้อนและน้ำเย็น แล้วก็มีฟิตเนสกับนวดด้วย ออกกำลังกยาแล้วหิวก็เติมพลังกินข้าวที่นี่ได้เลย ครบ จบที่เดียว มีห้องจัดสัมมนาพร้อมคาราโอเกะด้วยนะ

บรรยากาศดี สงบมาก เหมือนนั่งอยู่บ้านชิลๆเลย

ที่สำคัญคือคนไม่แออัดจ้ะ นั่งวนไปเลย 150 บาท คุ้มราคามาก ใครไม่เคยซาวน่ามาลองได้นะ",313TrainingStudioพทยาไทย,12.93517,100.931686
313ซาวน่า เป็นซาวน่าที่ครบ จบ แนะนำเลยใครมาพัทยา,ต.ค.2020,"ไปซาวน่าที่นี่คือดีมาก เค้ามีทุกอย่างครบ ทั้งซาวน่า สตีม ฟิตเนส สระว่ายน้ำ เด็กๆชอบมาก
แถมไปช่วงมีโปรนวด ขัดตัว สบายตัวมากก อาหารอรอย

โดยรวมคือดี สถานที่สะอาด สงบ แนะนำค่ะ",313TrainingStudioพทยาไทย,12.93517,100.931686
ที่นี่สะอาดตา facilities ดี มีครบ มีโปร 100 บาทบ่อยๆ,เม.ย.2018,เซาน่า สตีม สปา ฟิตเนส โยคะ ต้องไปสัมผัสเอง ราคาไม่แพงเลย แต่ถ้าเทียบกับความดูดีมากๆ ของสถานที่ถือว่าราคาถูกมากๆ,313TrainingStudioพทยาไทย,12.93517,100.931686
313 อบรมสตูดิโอมีทุกอย่างในสถานที่หนึ่ง,มิ.ย.2017,มีห้องซาวน่า อบไอน้ำ บริการนวด สระว่ายน้ำร้อน และเย็น ห้องฟิตเนส ศิลปะการต่อสู้มวยไทย และฝึกอบรมในสถานที่หนึ่ง สิ่งอำนวยความสะดวกที่ดีเยี่ยมและการบริการลูกค้าที่ดี,313TrainingStudioพทยาไทย,12.93517,100.931686
สุดยอดซาวน่าแห่งพัทยา,ต.ค.2020,"ขออนุญาตรีวิวเนื่องจากไปใช้บริการแล้วประทับใจมาก ให้เต็ม
313 ซาวน่าเป็นร้านบริการตามชื่อเลยค่ะ มีซาวน่า สตีม สระว่ายน้ำ บ่อแช่น้ำร้อนและน้ำเย็น แล้วก็มีฟิตเนสกับนวดด้วย ออกกำลังกยาแล้วหิวก็เติมพลังกินข้าวที่นี่ได้เลย ครบ จบที่เดียว มีห้องจัดสัมมนาพร้อมคาราโอเกะด้วยนะ

บรรยากาศดี สงบมาก เหมือนนั่งอยู่บ้านชิลๆเลย

ที่สำคัญคือคนไม่แออัดจ้ะ นั่งวนไปเลย 150 บาท คุ้มราคามาก ใครไม่เคยซาวน่ามาลองได้นะ",313TrainingStudioพทยาไทย,12.93517,100.931686
313ซาวน่า เป็นซาวน่าที่ครบ จบ แนะนำเลยใครมาพัทยา,ต.ค.2020,"ไปซาวน่าที่นี่คือดีมาก เค้ามีทุกอย่างครบ ทั้งซาวน่า สตีม ฟิตเนส สระว่ายน้ำ เด็กๆชอบมาก
แถมไปช่วงมีโปรนวด ขัดตัว สบายตัวมากก อาหารอรอย

โดยรวมคือดี สถานที่สะอาด สงบ แนะนำค่ะ",313TrainingStudioพทยาไทย,12.93517,100.931686
ที่นี่สะอาดตา facilities ดี มีครบ มีโปร 100 บาทบ่อยๆ,เม.ย.2018,เซาน่า สตีม สปา ฟิตเนส โยคะ ต้องไปสัมผัสเอง ราคาไม่แพงเลย แต่ถ้าเทียบกับความดูดีมากๆ ของสถานที่ถือว่าราคาถูกมากๆ,313TrainingStudioพทยาไทย,12.93517,100.931686
313 อบรมสตูดิโอมีทุกอย่างในสถานที่หนึ่ง,มิ.ย.2017,มีห้องซาวน่า อบไอน้ำ บริการนวด สระว่ายน้ำร้อน และเย็น ห้องฟิตเนส ศิลปะการต่อสู้มวยไทย และฝึกอบรมในสถานที่หนึ่ง สิ่งอำนวยความสะดวกที่ดีเยี่ยมและการบริการลูกค้าที่ดี,313TrainingStudioพทยาไทย,12.93517,100.931686
Excellent service .Amazing staff,ต.ค.2019,"we visited this bar in october,and from day one the staff made us feel at home,they were all freindly polite and very professional, i highly recomend visiting T-4 Bar its relaxing freindly fun and a good bar for people watching ,I cannot thank these guys enough for making our stay extra special , a Big Big thankyou to our new freinds chea, joe, auntie sue, neung and fiddler, in fact all the satff were all amazing, cant wait to come back.......love thailand love 4-TBar
Love this Bar",4TBarพทยาไทย,12.89572,100.939438
"Great bar, and great staff",ต.ค.2019,"4T Bar is a great bar in the Jomtien Complex. Wasanti (Chea) the host - is very welcoming, and freindly and the staff and handsome and attentive.
Spent time there evry nigh for 10 days, Chea alway smade me happy to be there, and always ensured we had a great evening. I would highy recommend visiting this bar, you will not be dissapointed. Max",4TBarพทยาไทย,12.89572,100.939438
Great Relaxing Bar,มี.ค.2018,Very friendly nice to relax and watch the world go by. Cheap drinks local to all over bars Also has a pool table,4TBarพทยาไทย,12.89572,100.939438
Great bar and welcome,ส.ค.2017,"4T Bar is a great bar in the Jomtien Complex. Jo the host - is very welcoming and the staff and handsome and attentive.
The beer is cold and you are made to feel very welcome.
Certainly worth a visit.
I go there regularly when I am in Jomtien",4TBarพทยาไทย,12.89572,100.939438
So friendly I felt I was at home,ก.พ.2017,"Amongst the many bars in the Jomtien complex this one leaves you feeling so at home. The relaxed atmosphere which the guys here have developed leaves you feeling you've known them forever, without any feeling of being a visitor, or that you're in a competitive area with lots of options.

Drinks are not expensive, service is first class and the whole place maintained very well. On a second visit, whilst waiting for friends to arrive, we felt we'd arrived at a venue filled with friends - not an easy task given the multi-national nature of the bar, but one which has been successfully achieved.

The Thai owners have really done well to produce a bar well above the expected standard, and their friendliness is phenomenal. Highly recommended to anyone visiting Jomiten, not only gay guys.",4TBarพทยาไทย,12.89572,100.939438
Нормально,ต.ค.2015,"Один из баров в этом переулке Джомтьен-Комплекса. Случайно проходили, а там был какой-то праздник и тайское караоке. Присоединились.
Хозяин бара мистер Джо очень приветлив. Цены обычные для этого района.",4TBarพทยาไทย,12.89572,100.939438
Klein aber fein,None,"Kleine saubere gay bar inmitten von jomtien complex.
Normale Preise
Guter freundlicher Service
Abends wird doppelt Bestuhlung somit viel platz.
Offen ab 16.30 bis ca 01.00 oder lärger je nach Bedarf.
Immer lustige GeburtstagsPartys..",4TBarพทยาไทย,12.89572,100.939438
Friendly bar,พ.ย.2014,The bars along this part of the Jomtien Complex are great for drinks with friends. Always clean and well managed. Very festive during birthday parties.,4TBarพทยาไทย,12.89572,100.939438
Intimate and very friendly gay bar,มิ.ย.2014,This intimate gay bar has been open for a year now and has added extra spice to the gay Jomtien Complex. The bar is kept very clean by the Thai owners and has perhaps the cheapest drinks in the Complex coupled with very handsome boys. Well worth s visit,4TBarพทยาไทย,12.89572,100.939438
Excellent service .Amazing staff,ต.ค.2019,"we visited this bar in october,and from day one the staff made us feel at home,they were all freindly polite and very professional, i highly recomend visiting T-4 Bar its relaxing freindly fun and a good bar for people watching ,I cannot thank these guys enough for making our stay extra special , a Big Big thankyou to our new freinds chea, joe, auntie sue, neung and fiddler, in fact all the satff were all amazing, cant wait to come back.......love thailand love 4-TBar
Love this Bar",4TBarพทยาไทย,12.89572,100.939438
"Great bar, and great staff",ต.ค.2019,"4T Bar is a great bar in the Jomtien Complex. Wasanti (Chea) the host - is very welcoming, and freindly and the staff and handsome and attentive.
Spent time there evry nigh for 10 days, Chea alway smade me happy to be there, and always ensured we had a great evening. I would highy recommend visiting this bar, you will not be dissapointed. Max",4TBarพทยาไทย,12.89572,100.939438
Great Relaxing Bar,มี.ค.2018,Very friendly nice to relax and watch the world go by. Cheap drinks local to all over bars Also has a pool table,4TBarพทยาไทย,12.89572,100.939438
Great bar and welcome,ส.ค.2017,"4T Bar is a great bar in the Jomtien Complex. Jo the host - is very welcoming and the staff and handsome and attentive.
The beer is cold and you are made to feel very welcome.
Certainly worth a visit.
I go there regularly when I am in Jomtien",4TBarพทยาไทย,12.89572,100.939438
So friendly I felt I was at home,ก.พ.2017,"Amongst the many bars in the Jomtien complex this one leaves you feeling so at home. The relaxed atmosphere which the guys here have developed leaves you feeling you've known them forever, without any feeling of being a visitor, or that you're in a competitive area with lots of options.

Drinks are not expensive, service is first class and the whole place maintained very well. On a second visit, whilst waiting for friends to arrive, we felt we'd arrived at a venue filled with friends - not an easy task given the multi-national nature of the bar, but one which has been successfully achieved.

The Thai owners have really done well to produce a bar well above the expected standard, and their friendliness is phenomenal. Highly recommended to anyone visiting Jomiten, not only gay guys.",4TBarพทยาไทย,12.89572,100.939438
Нормально,ต.ค.2015,"Один из баров в этом переулке Джомтьен-Комплекса. Случайно проходили, а там был какой-то праздник и тайское караоке. Присоединились.
Хозяин бара мистер Джо очень приветлив. Цены обычные для этого района.",4TBarพทยาไทย,12.89572,100.939438
Klein aber fein,None,"Kleine saubere gay bar inmitten von jomtien complex.
Normale Preise
Guter freundlicher Service
Abends wird doppelt Bestuhlung somit viel platz.
Offen ab 16.30 bis ca 01.00 oder lärger je nach Bedarf.
Immer lustige GeburtstagsPartys..",4TBarพทยาไทย,12.89572,100.939438
Friendly bar,พ.ย.2014,The bars along this part of the Jomtien Complex are great for drinks with friends. Always clean and well managed. Very festive during birthday parties.,4TBarพทยาไทย,12.89572,100.939438
Intimate and very friendly gay bar,มิ.ย.2014,This intimate gay bar has been open for a year now and has added extra spice to the gay Jomtien Complex. The bar is kept very clean by the Thai owners and has perhaps the cheapest drinks in the Complex coupled with very handsome boys. Well worth s visit,4TBarพทยาไทย,12.89572,100.939438
ประทับใจมากกกคะ,ก.พ.2021,ประทับใจตั้งเเต่เดินเข้าร้านสปา พนักงานตอนรับบริการดีมาก มีบริการรับส่งถึงหน้าโรมเเรม เเละชอบตรงที่เดินเข้าไปนั่งในกลิ่นสมุนไพรทั้วร้าน รู้สึกสบายมาก พนักงานนวด นวดดีมากๆๆทำให้เรารู้สึกสบายตัวเเละผ่อนคลาย หลังนวดเสร็จมีน้ำสมุนไพรหอมๆให้เราดื่มอีกด้วย รอบหน้ามาพัทยาต้องเเวะอีกรอบคะ,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
คุณภาพและบริการดีจริงๆ,ต.ค.2020,"เยี่ยมจริงๆครับ สะอาด พนักงานบิการดี ที่สำคัญ หมอนวดฝีมือดีมากๆ และสุภาพมาก
มาพัทยาทุกครั้งต้องแวะมาตลอด ลองแวะมาดูครับแล้วจะติดใจ",7สปามาชาลกซรพทยาไทย,12.910902,100.86821
ประทับใจจนต้องกลับไปใช้บริการซ้ำ,ก.ย.2020,ร้านสะอาดมากมีกลิ่นหอมของสมุนไพร พนักงานบริการดีมีมารยาท ยิ้มแย้มแจ่มใส ใส่ใจรายละเอียดลูกค้าเป็นอย่างดี นอกจากนี้ทางร้านยังมีมารตราการในการคัดกรองลูกค้าช่วงโควิทเป็นอย่างดี หมอนวดฝีมือดีมาก,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
สบายตัวมากๆ,ก.ค.2020,หยุดยาวนี้ได้มีโอกาสได้มาพัทยา ได้มาลองสปามีโปรโมชั่นคุ้มค่ามาก มีที่จอดรถสะดวก อโรม่าหอมมาก 2ชั่วโมงไม่พอเลยมีโอกาสจะแวะไปอีก,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
แนะนำเลย,เม.ย.2019,สถานที่มีที่จอดรถสะดวกสบาย หอมกลิ่นสมุนไพรสด สะอาดมาก หมอนวดฝีมือดี ห้องกว้าง นวดเสร็จมีผลไม้เสริฟกับน้ำชาร้อน จะแวะมาบ่อยๆค่ะ,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
คุ้มค่ากับการไปใช้บริการมากๆค่ะ,ก.พ.2020,เป็นการนวดที่คุ้มค่าและให้ความผ่อนคลายสบายมากๆค่ะ ได้ทุกอย่างในโปรแกรมเดียวคุ้มสุดๆ สถานที่ก็สะอาด กลิ่นหอมสมุนไพร การบริการก็ประทับใจพนักงานสุภาพยิ้มแย้ม ถ้าว่างๆจะแวะไปใช้บริการใหม่แน่นอนค่ะ,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
บรรยากาศดี,ก.ย.2019,ได้มาลองตัวที่เป็นซิกเนเจอร์ เพราะว่าปวดหลัง มีน้ำมันอโรม่ากับประคบร้อน ผ่อนคลายมาก และยังมีพวกน้ำมันที่เป็นของร้านขายด้วย ชารสชาติอร่อยดี,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
แนะนำอโรม่าหอมมาก,เม.ย.2019,เข้ามาหอมกลิ่นเหมือนสมุนไพร อโรมามีให้เลือกเยอะมีน้ำชาสมุนไพรร้อน ล้างเท้าขัดเท้าชอบมาก หมอนวดฝีมือดีนวดเสร็จมีสัปปะรดกับน้ำชา,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
เหมาะแก่การมาเยือน 😍😍,ก.ย.2017,บรรยากาศทุกอย่างโดยรวมโอเครมากค่ะ😍😍 ในร้านหอมมาก พนักงานยิ้มแย้มน่ารัก เป็นปลื้มค่าาา 😍😍 มีโอกาสต้องมาบ่อยๆ,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
❤❤❤ห้าดาวครับ,ก.ย.2017,บรรยากาศในร้านดีมาก รู้สึกอบอุ่น มีโอกาส ต้องมาบ่อยๆครับ 😍😍 เหมาะสำหรับการผ่อนคลายมากๆเลยครับ ใครมีโอกาสแนะนำให้ลองมาที่นี่เลยครับ พนักงานยิ้มแย้มแจ่มใส☺☺,7สปามาชาลกซรพทยาไทย,12.910902,100.86821
Water down well drinks,ธ.ค.2020,"The 808 is fine but the candy shop below bar unless your buying beer or a bottle all the well bottles are watered down , especially the vodka and whiskey. This is normal in Thailand but they have gone over board!",808Clubพทยาไทย,12.926571,100.873421
Клуб 808,ม.ค.2020,"Находится на знаменитой Walking street. Играет преимущественно R&B и хип-хоп. Я не поклонник этих направлений, поэтому мне здесь не понравилось",808Clubพทยาไทย,12.926571,100.873421
あまりお勧めできません、入場は自己責任で,พ.ย.2019,ウォーキングストリートにある人気クラブ。海外の人気アーティストを招いたイベントも行っているようです。週末金曜日の午前2時頃に入場。場内は満杯状態で、ローカール８割、ファラン１割、残りは日本人を含めた東アジア系といった割合でした。フロア内でシーシャ(水たばこ)を吸えるので、煙が全体に立ち込めています。電子タバコを吸っているローカルも多数いました。シーシャが吸えるパタヤのおすすめクラブとして度々登場する８０８ですが、シーシャも電子タバコもパタヤでは禁止されています。ポリスの手入れがあった場合、トラブルに巻き込まれることもあるので注意が必要です。,808Clubพทยาไทย,12.926571,100.873421
Live!!! had a great time,พ.ย.2019,"This club was live every night that I attended, good DJ, Good atmosphere, reasonable priced drinks, I loved it",808Clubพทยาไทย,12.926571,100.873421
ヒップホップ,มิ.ย.2019,ウォーキングストリートにあるナイトクラブで、ヒップポップ系の音楽が大音量で流れていて、結構盛り上がっていました。ただ音楽や雰囲気、客層から好き嫌いがわかれそうな感じの店でした。,808Clubพทยาไทย,12.926571,100.873421
Tourist Trap,ต.ค.2019,"As soon as you finish your first drink a ""guard"" will approach you and demand that you buy another. If you don't immediately agree, he will aggressively throw you out. Was there all together less than ten minutes because we ordered shots (and were dumb enough to give a healthy tip). Avoid at all costs.",808Clubพทยาไทย,12.926571,100.873421
Hip hop,ส.ค.2019,We been to there.hip hop music and many people.have vip and normal people.up to the candy shop bar.have many guard.,808Clubพทยาไทย,12.926571,100.873421
Best club best staff,มิ.ย.2019,"For me this is my favourite club in Pattaya - security staff are good and the waiting staff are second to none - especially Fon who for me is a 5 star team member.

If you like good Hip Hop and RnB then the dis and MCs will keep you entertained. Nothing bad to say about the place.",808Clubพทยาไทย,12.926571,100.873421
A very good late night venue,พ.ค.2019,"A vibrant night club with loud Hip Hop music and good range of drinks. Although generally thought of as a 'pick up spot' and there were many single girls and guys about, it is generally a good hassle free night club.

There is a good level of in house security with men being frisked at the entrance and several security personnel on hand to prevent trouble.

We left well after 2 am and it was still going strong!!",808Clubพทยาไทย,12.926571,100.873421
Rejected by security,เม.ย.2019,I've been many times in club 808. I've spent more than 3000 Bht last time and now I was rejected for no reason?? Sick place!!,808Clubพทยาไทย,12.926571,100.873421
Water down well drinks,ธ.ค.2020,"The 808 is fine but the candy shop below bar unless your buying beer or a bottle all the well bottles are watered down , especially the vodka and whiskey. This is normal in Thailand but they have gone over board!",808Clubพทยาไทย,12.926571,100.873421
Клуб 808,ม.ค.2020,"Находится на знаменитой Walking street. Играет преимущественно R&B и хип-хоп. Я не поклонник этих направлений, поэтому мне здесь не понравилось",808Clubพทยาไทย,12.926571,100.873421
あまりお勧めできません、入場は自己責任で,พ.ย.2019,ウォーキングストリートにある人気クラブ。海外の人気アーティストを招いたイベントも行っているようです。週末金曜日の午前2時頃に入場。場内は満杯状態で、ローカール８割、ファラン１割、残りは日本人を含めた東アジア系といった割合でした。フロア内でシーシャ(水たばこ)を吸えるので、煙が全体に立ち込めています。電子タバコを吸っているローカルも多数いました。シーシャが吸えるパタヤのおすすめクラブとして度々登場する８０８ですが、シーシャも電子タバコもパタヤでは禁止されています。ポリスの手入れがあった場合、トラブルに巻き込まれることもあるので注意が必要です。,808Clubพทยาไทย,12.926571,100.873421
Live!!! had a great time,พ.ย.2019,"This club was live every night that I attended, good DJ, Good atmosphere, reasonable priced drinks, I loved it",808Clubพทยาไทย,12.926571,100.873421
ヒップホップ,มิ.ย.2019,ウォーキングストリートにあるナイトクラブで、ヒップポップ系の音楽が大音量で流れていて、結構盛り上がっていました。ただ音楽や雰囲気、客層から好き嫌いがわかれそうな感じの店でした。,808Clubพทยาไทย,12.926571,100.873421
Tourist Trap,ต.ค.2019,"As soon as you finish your first drink a ""guard"" will approach you and demand that you buy another. If you don't immediately agree, he will aggressively throw you out. Was there all together less than ten minutes because we ordered shots (and were dumb enough to give a healthy tip). Avoid at all costs.",808Clubพทยาไทย,12.926571,100.873421
Hip hop,ส.ค.2019,We been to there.hip hop music and many people.have vip and normal people.up to the candy shop bar.have many guard.,808Clubพทยาไทย,12.926571,100.873421
Best club best staff,มิ.ย.2019,"For me this is my favourite club in Pattaya - security staff are good and the waiting staff are second to none - especially Fon who for me is a 5 star team member.

If you like good Hip Hop and RnB then the dis and MCs will keep you entertained. Nothing bad to say about the place.",808Clubพทยาไทย,12.926571,100.873421
A very good late night venue,พ.ค.2019,"A vibrant night club with loud Hip Hop music and good range of drinks. Although generally thought of as a 'pick up spot' and there were many single girls and guys about, it is generally a good hassle free night club.

There is a good level of in house security with men being frisked at the entrance and several security personnel on hand to prevent trouble.

We left well after 2 am and it was still going strong!!",808Clubพทยาไทย,12.926571,100.873421
Rejected by security,เม.ย.2019,I've been many times in club 808. I've spent more than 3000 Bht last time and now I was rejected for no reason?? Sick place!!,808Clubพทยาไทย,12.926571,100.873421
One of the worst bars on Walking St,มี.ค.2016,This bar is usually empty because of the volume of the music in the place is unbearable. It has no real theme or style. Occasionally drunk male tourists dance around a pole. The last time I went in they were playing some decent music but one of the bar girls stopped the music to put on some dreadful hip hop or rap.,AbbesBarพทยาไทย,12.9261,100.872581
My favourite bar in the world,ก.พ.2016,"21 years and counting. Before when I lived in England and then in Hong Kong and Singapore. The oldest Thai family owned music bar on Walking Street, no hassle, spend all night people watching, playing any song you want and loud when you want it. Rock, punk, indie, motown, disco, hip hop from Oasis, The Jam, the Who, Led Zeppelin, Primal Scream, The Smiths, Prince, Foo Fighters, Jay Z, Abba, Smokey Robinson, St Vincent, Grimes, Kendrick Lamar -not like any bar on the street. A place for music lovers, unpretentious and not out to impress anyone.",AbbesBarพทยาไทย,12.9261,100.872581
Miserable staff who ignored customers,พ.ค.2015,I have tried this bar twice over a couple of years and found all staff quite miserable and not overly interested in customers or looking after them. Its easy to find being in Walking Street but I have never seen it remotely busy which speaks volumes for the staff attitude.,AbbesBarพทยาไทย,12.9261,100.872581
great music & friendly happy girls,มี.ค.2015,"Really good friendly happy vibe in this bar, played great music & DJ down the back happy to take requests.
First night I visited the bottled coke was wrong so I bought my own from 7/11 & they just charged for the spirits, I only planned to stay for one drink, 5 hours later ....
Second visit bar was much busier but the staff still made time to have a laugh & chat.",AbbesBarพทยาไทย,12.9261,100.872581
