,Review,Rating,Hotel_Name,Cleaned_Review,polarity
25, nice traveller. The hostel bit hidden residential area makes nice quiet night time. Overall,50,HIDE BANGKOK HOSTEL,nice traveller. the hostel bit hidden residenti area make nice quiet night time. overal,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6808}"
26, Id highly recommended it!,50,HIDE BANGKOK HOSTEL,id highli recommend it!,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.4199}"
27,I found video instructions go hostel public van number 552 Suvarnaphum airport This helpful Cheap price around 40 Bath per seat convenientThey drop hostel And hostel The room clean,50,HIDE BANGKOK HOSTEL,i found video instruct go hostel public van number 552 suvarnaphum airport thi help cheap price around 40 bath per seat convenientthey drop hostel and hostel the room clean,"{'neg': 0.064, 'neu': 0.732, 'pos': 0.204, 'compound': 0.5574}"
28, spacious quiet. Simple breakfast provided,50,HIDE BANGKOK HOSTEL,spaciou quiet. simpl breakfast provid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29, owner kind helpful.,50,HIDE BANGKOK HOSTEL,owner kind helpful.,"{'neg': 0.0, 'neu': 0.139, 'pos': 0.861, 'compound': 0.7351}"
30,I stayed hostel 4 days. Really love hostel. Quite,50,HIDE BANGKOK HOSTEL,i stay hostel 4 days. realli love hostel. quit,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.6369}"
31, clean,50,HIDE BANGKOK HOSTEL,clean,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4019}"
32, friendly green! Very nice. Only 5-min walking On Nut BTS,50,HIDE BANGKOK HOSTEL,friendli green! veri nice. onli 5-min walk on nut bt,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.4753}"
33, theres mall,50,HIDE BANGKOK HOSTEL,there mall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34, supermarket,50,HIDE BANGKOK HOSTEL,supermarket,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35, clothing market well. The vendor food clothing market nice,50,HIDE BANGKOK HOSTEL,cloth market well. the vendor food cloth market nice,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.5994}"
36,This hostel feel crib! It raining arrived hostel. We welcomed 2 3 ladies umbrellas helped luggage. Upon entering hostel,50,HIDE BANGKOK HOSTEL,thi hostel feel crib! it rain arriv hostel. we welcom 2 3 ladi umbrella help luggage. upon enter hostel,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4574}"
37, policy remove footwear entering saw everyone inside barefoot (what cooperation!) We served colorful welcome drink. The ladies helpful barely see faces wanted engage conversation you,50,HIDE BANGKOK HOSTEL,polici remov footwear enter saw everyon insid barefoot (what cooperation!) we serv color welcom drink. the ladi help bare see face want engag convers you,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.5093}"
38, language barrier big hindrance. We first floor,50,HIDE BANGKOK HOSTEL,languag barrier big hindrance. we first floor,"{'neg': 0.457, 'neu': 0.543, 'pos': 0.0, 'compound': -0.4939}"
39, location room preference near staircase,50,HIDE BANGKOK HOSTEL,locat room prefer near staircas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40, okay leaving couple hours flight. For midnight snack,50,HIDE BANGKOK HOSTEL,okay leav coupl hour flight. for midnight snack,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.2263}"
41, food take away decided eat dining table. This feeling I liked most,50,HIDE BANGKOK HOSTEL,food take away decid eat dine table. thi feel i like most,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
42, sitting partner long dining table,50,HIDE BANGKOK HOSTEL,sit partner long dine tabl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43, midnight snack small talk together. Aside that,50,HIDE BANGKOK HOSTEL,midnight snack small talk together. asid that,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44, small room washing machine it,50,HIDE BANGKOK HOSTEL,small room wash machin it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45, iron ironing board,50,HIDE BANGKOK HOSTEL,iron iron board,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46, kitchenette,50,HIDE BANGKOK HOSTEL,kitchenett,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47, good long staying guests. The important leave luggage 15 days free charge visit another island country! Their location easy find,50,HIDE BANGKOK HOSTEL,good long stay guests. the import leav luggag 15 day free charg visit anoth island country! their locat easi find,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.7574}"
48, nice hand away noise hear day trips! Definitely recommendable!,50,HIDE BANGKOK HOSTEL,nice hand away nois hear day trips! definit recommendable!,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.7639}"
49,We standard double room shower. The room spacious clean. The hostel clean staff nice greeted warm greeting. The staff helpful letting know best way nearest BTS (On Nut BTS). According Google maps,50,HIDE BANGKOK HOSTEL,we standard doubl room shower. the room spaciou clean. the hostel clean staff nice greet warm greeting. the staff help let know best way nearest bt (on nut bts). accord googl map,"{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.9633}"
50, require 10 minutes walk On Nut BTS hostel. With heat Bangkok,50,HIDE BANGKOK HOSTEL,requir 10 minut walk on nut bt hostel. with heat bangkok,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51, joke. However,50,HIDE BANGKOK HOSTEL,joke. howev,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.296}"
52, outside Tesco,50,HIDE BANGKOK HOSTEL,outsid tesco,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53, motorcycle taxis bring hostel 10 bhat! Also,50,HIDE BANGKOK HOSTEL,motorcycl taxi bring hostel 10 bhat! also,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54, walking hostel motorcycle taxis bring BTS station 10 bhat. As hostel located small alley,50,HIDE BANGKOK HOSTEL,walk hostel motorcycl taxi bring bt station 10 bhat. as hostel locat small alley,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55, might little dark night gets peaceful night. Totally loved it. They provided free breakfast morning cereal,50,HIDE BANGKOK HOSTEL,might littl dark night get peac night. total love it. they provid free breakfast morn cereal,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.8176}"
56, bread,50,HIDE BANGKOK HOSTEL,bread,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57, etc. There washing machines dryers laundry 30 bhat. However,50,HIDE BANGKOK HOSTEL,etc. there wash machin dryer laundri 30 bhat. howev,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58, water pressure bathroom little low. Above else,50,HIDE BANGKOK HOSTEL,water pressur bathroom littl low. abov els,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.2732}"
59, great stay! Will definitely come back again.,50,HIDE BANGKOK HOSTEL,great stay! will definit come back again.,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.6588}"
60,With great king-size beds ensuite feel city hostel needed long flight! Perfect jetlag! If planning looking around bit way train right around corner massive Tesco! :),40,HIDE BANGKOK HOSTEL,with great king-siz bed ensuit feel citi hostel need long flight! perfect jetlag! if plan look around bit way train right around corner massiv tesco! :),"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9131}"
61,We 6 stayed Hide Bangkok Hostel private room 6 beds everyone know travel anywhere worry hotel cheap clean too. I lucky found hostel ( hostel hostel)its clean,50,HIDE BANGKOK HOSTEL,we 6 stay hide bangkok hostel privat room 6 bed everyon know travel anywher worri hotel cheap clean too. i lucki found hostel ( hostel hostel)it clean,"{'neg': 0.063, 'neu': 0.738, 'pos': 0.199, 'compound': 0.5719}"
62,quiet cheap 3 nights 6 cost 4.500Bath receptionist nice friendly .My cousin fall love bed top :D We happy great trip BKK love food around nearly hostel good. Thanks recommend friends wants travel BKK hostel. ( From Vietnam ),50,HIDE BANGKOK HOSTEL,quiet cheap 3 night 6 cost 4.500bath receptionist nice friendli .mi cousin fall love bed top :d we happi great trip bkk love food around nearli hostel good. thank recommend friend want travel bkk hostel. ( from vietnam ),"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.9846}"
63,Very clean,50,HIDE BANGKOK HOSTEL,veri clean,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4019}"
64, comfortable. Didnt feel hostel private room! Best city hostel I stayed in. The owners polite hostel calming environment. Would stay again.,50,HIDE BANGKOK HOSTEL,comfortable. didnt feel hostel privat room! best citi hostel i stay in. the owner polit hostel calm environment. would stay again.,"{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.8777}"
65,Friendly people,50,HIDE BANGKOK HOSTEL,friendli peopl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66, cheap easy find. definitely recommend hostel. Thai new year. pointed wet other. nice experience,50,HIDE BANGKOK HOSTEL,cheap easi find. definit recommend hostel. thai new year. point wet other. nice experi,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.6486}"
67, especially right middle residential area.,50,HIDE BANGKOK HOSTEL,especi right middl residenti area.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,We spent 4 nights prior heading south,40,HIDE BANGKOK HOSTEL,we spent 4 night prior head south,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
69, close BTS easy,40,HIDE BANGKOK HOSTEL,close bt easi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70, cheap transport. We booked double room deck & private bath good size a/c & mini fridge. The room fairly clean,40,HIDE BANGKOK HOSTEL,cheap transport. we book doubl room deck & privat bath good size a/c & mini fridge. the room fairli clean,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6808}"
71, reason Thailand,40,HIDE BANGKOK HOSTEL,reason thailand,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72, walls neglected,40,HIDE BANGKOK HOSTEL,wall neglect,"{'neg': 0.75, 'neu': 0.25, 'pos': 0.0, 'compound': -0.4588}"
73, floors spotless. Food good hotel (we ate lunch many restaurants area$) staff friendly & helpful.,40,HIDE BANGKOK HOSTEL,floor spotless. food good hotel (we ate lunch mani restaur area$) staff friendli & helpful.,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.6908}"
74,Awesome little hotel/hostel feel hostel double rooms double bed & shower,30,HIDE BANGKOK HOSTEL,awesom littl hotel/hostel feel hostel doubl room doubl bed & shower,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75, staff nice & friendly,30,HIDE BANGKOK HOSTEL,staff nice & friendli,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}"
76, Difficult find local.. I. E order food & find ask staff & direct driver hotel Rooms nice & cosy,30,HIDE BANGKOK HOSTEL,difficult find local.. i. e order food & find ask staff & direct driver hotel room nice & cosi,"{'neg': 0.137, 'neu': 0.71, 'pos': 0.153, 'compound': 0.0772}"
77,,30,HIDE BANGKOK HOSTEL,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
78,Stayed 5 days 4 nights. Affordable rates friendly staff. It comes free breakfast (toasted bread,50,HIDE BANGKOK HOSTEL,stay 5 day 4 nights. afford rate friendli staff. it come free breakfast (toast bread,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}"
79, milk,50,HIDE BANGKOK HOSTEL,milk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80, unli coffee) free wifi! Will definitely recommend place tight budget.,50,HIDE BANGKOK HOSTEL,unli coffee) free wifi! will definit recommend place tight budget.,"{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.7263}"
81,This hostel quiet small alley ,50,HIDE BANGKOK HOSTEL,thi hostel quiet small alley,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82, 10 Mons walk BTS On Nut station. Theres local stores Cafe,50,HIDE BANGKOK HOSTEL,10 mon walk bt on nut station. there local store cafe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83, restaurants 7-11 nearby. The hostel really clean modern. We stayed private room,50,HIDE BANGKOK HOSTEL,restaur 7-11 nearby. the hostel realli clean modern. we stay privat room,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
84, spacious lil balcony. The bathroom pretty new clean. The staff super friendly. Though speak fluent English,50,HIDE BANGKOK HOSTEL,spaciou lil balcony. the bathroom pretti new clean. the staff super friendly. though speak fluent english,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8689}"
85, still try best help chat us. They provide free coffee tea 24hrs,50,HIDE BANGKOK HOSTEL,still tri best help chat us. they provid free coffe tea 24hr,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.8807}"
86, free breakfast,50,HIDE BANGKOK HOSTEL,free breakfast,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.5106}"
87, includes toast,50,HIDE BANGKOK HOSTEL,includ toast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88, cereal ,50,HIDE BANGKOK HOSTEL,cereal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89, bananas milk. If wanna laundry washing machine dryer 1st floor. You pay 30 baht per use. Overall,50,HIDE BANGKOK HOSTEL,banana milk. if wanna laundri wash machin dryer 1st floor. you pay 30 baht per use. overal,"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.1027}"
90, really comfortable stay ,50,HIDE BANGKOK HOSTEL,realli comfort stay,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}"
91, I recommend Hide Bangkok whoever tight budget mind stay bit away city center.,50,HIDE BANGKOK HOSTEL,i recommend hide bangkok whoever tight budget mind stay bit away citi center.,"{'neg': 0.12, 'neu': 0.704, 'pos': 0.176, 'compound': 0.2023}"
92,My fiancée I stayed Hide 5 nights. We private room bathroom booked Agoda. Check simple 100 baht key deposit required. The hostel spotless,50,HIDE BANGKOK HOSTEL,my fiancé i stay hide 5 nights. we privat room bathroom book agoda. check simpl 100 baht key deposit required. the hostel spotless,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.1779}"
93, I impressed clean kept it. Our room good size bathroom nice shower,50,HIDE BANGKOK HOSTEL,i impress clean kept it. our room good size bathroom nice shower,"{'neg': 0.0, 'neu': 0.383, 'pos': 0.617, 'compound': 0.8834}"
94, toilet,50,HIDE BANGKOK HOSTEL,toilet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95, sink. They provide complimentary breakfast mornings (which cereal,50,HIDE BANGKOK HOSTEL,sink. they provid complimentari breakfast morn (which cereal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96, fruit,50,HIDE BANGKOK HOSTEL,fruit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97, coffee/tea) provide clothes hangers hair dryer need one. There Tesco,50,HIDE BANGKOK HOSTEL,coffee/tea) provid cloth hanger hair dryer need one. there tesco,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98, bars,50,HIDE BANGKOK HOSTEL,bar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99, 7 Eleven,50,HIDE BANGKOK HOSTEL,7 eleven,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100, cafes,50,HIDE BANGKOK HOSTEL,cafe,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101, street food near hostel. The neighborhood quiet nicer Khao San Rd. Although Hostel near main attractions Bangkok accessible anywhere using public transportation. There BTS station right Tesco (buy pass instead individual tickets) access MRT water taxis anywhere using BTS. The downside little hard find arrive Facebook page provide map directions Thai give taxi driver airport (alternatively take rail link BTS find using map way). Hide wonderful definitely stay Bangkok.,50,HIDE BANGKOK HOSTEL,street food near hostel. the neighborhood quiet nicer khao san rd. although hostel near main attract bangkok access anywher use public transportation. there bt station right tesco (buy pass instead individu tickets) access mrt water taxi anywher use bts. the downsid littl hard find arriv facebook page provid map direct thai give taxi driver airport (altern take rail link bt find use map way). hide wonder definit stay bangkok.,"{'neg': 0.042, 'neu': 0.884, 'pos': 0.073, 'compound': 0.5106}"
102,The first touch friendly staff. This place made special staff try help every way. The breakfast modest coffe,40,HIDE BANGKOK HOSTEL,the first touch friendli staff. thi place made special staff tri help everi way. the breakfast modest coff,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.6597}"
103, milk,40,HIDE BANGKOK HOSTEL,milk,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
104, tea,40,HIDE BANGKOK HOSTEL,tea,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
105, bread,40,HIDE BANGKOK HOSTEL,bread,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
106, butter homemade jam,40,HIDE BANGKOK HOSTEL,butter homemad jam,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
107, enough. Location little far centrum Bangkok. My opinion accomodation( bequem room cool clima) service friendly price. The room nicely clean. Thank,40,HIDE BANGKOK HOSTEL,enough. locat littl far centrum bangkok. my opinion accomodation( bequem room cool clima) servic friendli price. the room nice clean. thank,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.8519}"
108,This hostel tucked away couple streets Sukhumvit Road,50,HIDE BANGKOK HOSTEL,thi hostel tuck away coupl street sukhumvit road,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
109, near On Nut BTS. Nearby great streetfood massive Tesco Lotus. The room great AC,50,HIDE BANGKOK HOSTEL,near on nut bts. nearbi great streetfood massiv tesco lotus. the room great ac,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.8481}"
110, modern clean & cheap. Towels provided,50,HIDE BANGKOK HOSTEL,modern clean & cheap. towel provid,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
111, rented 20b plus deposit. This hostel suit looking chill sightseeing Bangkok,50,HIDE BANGKOK HOSTEL,rent 20b plu deposit. thi hostel suit look chill sightse bangkok,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
112, certainly place party. Friendly staff,50,HIDE BANGKOK HOSTEL,certainli place party. friendli staff,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
113, small breakfast laundry facilities nice little extras. I stay,50,HIDE BANGKOK HOSTEL,small breakfast laundri facil nice littl extras. i stay,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4215}"
114,I recommend place highly travellers bkk. The staff really good polite always willing help luggage storage anything else. They helped grab car I needed t go out. They offered free simple bkfs morning. Was impressed hotel price. Was really happy staying there. And recommend everyone. It 10 minutes walk BTS. I issues taking bts fro airport easily place. In convenient location. Tesco,50,HIDE BANGKOK HOSTEL,i recommend place highli travel bkk. the staff realli good polit alway will help luggag storag anyth else. they help grab car i need t go out. they offer free simpl bkf morning. wa impress hotel price. wa realli happi stay there. and recommend everyone. it 10 minut walk bts. i issu take bt fro airport easili place. in conveni location. tesco,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.9552}"
115, food,50,HIDE BANGKOK HOSTEL,food,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
116, massage places bts within walking distance. And choose waik,50,HIDE BANGKOK HOSTEL,massag place bt within walk distance. and choos waik,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
117, jus hire scooter driver 10Baht!,50,HIDE BANGKOK HOSTEL,ju hire scooter driver 10baht!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
