Date,Rating,Title,Review,Hotel_Name,X,Y
 Apr 2018,50,Great hostel,"Very clean, comfortable. Didn't feel like a hostel at all as had own private room! Best city hostel I have ever stayed in. The owners were very polite and the hostel had a very calming environment. Would stay again.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Apr 2018,50,Very good hostel,"Friendly people, cheap and easy to find. would definitely recommend this hostel. when we were there it was the Thai new year. they have pointed out to us and also that they wet each other. very nice experience, especially because you're right there in the middle of a residential area.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Mar 2018,40,Nice hostel in quiet neighbourhood,"We spent 4 nights here prior to heading south, it is close to the BTS for easy, cheap transport. We booked a double room with deck & private bath which was a good size with a/c & mini fridge. The room was fairly clean, for some reason in Thailand, walls are neglected, but floors are spotless. Food was good at the hotel (we only ate one lunch as many restaurants in area$) staff were friendly & helpful.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Oct 2017,30,Nice,"Awesome little hotel/hostel doesn't feel like a hostel as you can get double rooms with a double bed & own shower, staff are very nice & friendly,  Difficult to find if your not a local.. I. E if you order food & they can't find it you can ask the staff & they direct the driver to hotel but if you got Rooms are nice & cosy,",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Aug 2017,50,A good place to stay,"Stayed here for 5 days and 4 nights. Affordable rates and friendly staff. It also comes with free breakfast (toasted bread, milk, unli coffee) and free wifi! Will definitely recommend this place if you're on a tight budget.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jul 2017,50,Nice and clean,"This hostel is in a quiet and small alley , and it's about 10 Mons walk from BTS On Nut station. There's local stores and some Cafe, restaurants and 7-11 nearby.    The hostel is really clean and modern. We stayed in a private room, which is spacious and has a lil balcony. The bathroom is pretty new and clean.    The staff is super friendly. Though they don't speak fluent English, they still try their best to help and chat with us.    They provide free coffee and tea 24hrs, also free breakfast, which includes toast, cereal , bananas and milk. If you wanna do laundry they have washing machine and dryer at 1st floor. You will have to pay 30 baht per use.    Overall, we had a really comfortable stay , and I would recommend Hide Bangkok to whoever has tight budget and doesn't mind to stay a bit away from the city center.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jun 2017,50,Wonderful Hostel,"My fiancée and I stayed at Hide for 5 nights. We had a private room and bathroom that we booked through Agoda. Check in was simple and only a 100 baht key deposit was required. The hostel was spotless, I was very impressed with how clean they kept it. Our room was a good size and the bathroom was also very nice with a shower, toilet, and sink. They provide complimentary breakfast in the mornings (which is cereal, some fruit, and some coffee/tea) and also will provide clothes hangers or a hair dryer if you need one. There is a Tesco, some bars, a 7 Eleven, cafes, and street food near the hostel. The neighborhood is quiet and much nicer than Khao San Rd. Although the Hostel is not very near the main attractions in Bangkok it is very accessible to get anywhere using public transportation. There is a BTS station right by the Tesco (buy pass instead of individual tickets) and you can access the MRT or water taxis to get anywhere by using the BTS. The only downside is it can be a little hard to find when you arrive but on their Facebook page they provide a map and directions in Thai to give to your taxi driver from the airport (alternatively you could take the rail link to the BTS and find it using the map that way).    Hide is wonderful and we will definitely stay here again if we are in Bangkok.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 May 2017,40,First days in Bangkok,"The first what the touch us was friendly staff. This place is made special because of the staff which try to help you in every way.  The breakfast was modest with coffe, milk, tea, bread, butter or homemade jam, which enough.  Location was little far from the centrum of the Bangkok.  My opinion is that the accomodation( bequem room with cool clima) and the service is very friendly with the price. The room was nicely clean.  Thank you",HIDE BANGKOK HOSTEL,13.706567,100.596489
 May 2017,50,Nice hostel for backpackers,"This hostel is tucked away down a couple of streets off Sukhumvit Road, near On Nut BTS. Nearby is some great streetfood and a massive Tesco Lotus.    The room itself had great AC, was modern clean & cheap. Towels were not provided, but could be rented for 20b plus deposit. This hostel would suit those looking to chill out or do sightseeing in Bangkok, it is certainly not a place to party.    Friendly staff, a small breakfast and laundry facilities were nice little extras. I would stay here again",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Mar 2017,50,A lovely place at a lovely location,"I would recommend this place highly to travellers in bkk. The staff were really good and polite and always willing to help me with my luggage storage and anything else.  They also helped me get a grab car when I needed t go out. They also offered free simple bkfs in the morning. Was very impressed with this hotel at its price. Was really happy staying there. And will recommend to everyone. It is also a 10 minutes walk from the BTS. I had no issues taking bts fro airport easily to this place. In a very convenient location. Tesco, food, massage places and bts all within walking distance. And if you choose not to waik, jus hire a scooter driver for 10Baht!",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Jan 2017,50,Nice new budget hotel in sukhumvit 50,This is well recommended for budget travellers.Just 10 minute walk from On Nut BTS station on sukumvit 50.Place.is literally hidden in an alley but upon reaching it you will be surprise.Friendly staff and very clean common areas.free light snacks are availabe for the guests and free wifi all over the place.Bunk beds starts at 350 baht.its well recommended for budget travellers.,HIDE BANGKOK HOSTEL,13.706567,100.596489
 Dec 2016,40,Overall it is good,"Very good breakfast provided. Managed by owner. Very clean place. Free use of computer for travel planning. Provision shops nearby. Laundry, dryer machines are good. Aircon, wifi, locker are in good condition. In local neighborhood. Cheap & good traditional massage near BTS station.  No shower cream, shampoo provided. Really loooong walk to the BTS train station. Some mosquito.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Nov 2016,50,Excellent,"Very homey and comfortable. .. it's a great place to relax if you're tired of the hustles and bustles of the city. It is spacious and clean. It is a 10-minute walk from the train station. If you're looking for a place to rest and relax after a tiring day, this is the place to be..",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Nov 2016,40,Great!,"Base on the map, the hostel looks close from bts. However it's almost a 10 mins walk from On nut BTS and along the way, there are many Low cables or wires so be careful!    However, taking a GrabCar from Tesco to the hostel is only 50baht.  Tesco has amazing foodcourt!    The hostel also has free refillable water and even has a washer and dryer at a cost of 25baht.    We stayed in a private room and the room was spacious. What lack was probably a fridge to store some of our own stuff. But it'd do!    There is no lift just stairs. But there's automated lift for your heavy bags!    Staffs are polite and friendly.  Would stay here again!",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Nov 2016,50,Nice hostel with lovely and enthusiastic staff,"The building is very new and have nice decorating. Everything is very clean. Free coffee, drinking water, biscuits, banana and milk for breakfast. Free wifi is very strong. The owner girl and her family, and the staff are very nice and they are very king and willing to help you anything although some of them can speak English well.  A bit far from Oh Nut station and hard to find at the first time, it takes only 10 bath for motobike from BTS to this hostel.",HIDE BANGKOK HOSTEL,13.706567,100.596489
 Dec 2019,50,Great 1 night stay,"We stayed here for a 1 night as an airport stay over and it was a great nights stay. The room was big, shower nice and warm, the WiFi and aircon was good. There is also coffee/biscuits available all day and the airport shuttle is included. I slept so well and the lady on reception was really nice.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Sep 2019,50,Great for a one night airport stopover,"We bboked here as a one night stopover, for Bangkok airport, which is a 15 minute ride away, traffic was terrible. We had origionally booked a room, but it was up on a higher floor, so when checking in, the receptionist got me to cancel that one, and we got booked into one of the new rooms, behind the main hotel, on the ground floor, as we had 2 massive suitcases. The room only cost about £20 for the night, and a free taxi ride back to airport next day. Very clean room, looked very new, soft bed and pillows, great shower, toiletries, good WIFI, TV, hairdrier..  As its a hostel, there was a microwave, toast, in the hallway, so as we arrived late, I went to the local 7Eleven store, 5 mins away, bought toasties, crisps and beers for supper rather than going out.  Ok for a one night stay","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2019,50,The best Transfer Hotel in DONMUANG,"It’s conveniently close by (6mins drive) to the airport. They even give you a free complimentary ride to the airport. Also give you free luggage storage for a couple days. Clean, and central. THE BEST","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2019,40,Very Helpful and Polite Staff with Comfortable Rooms,We stayed here for two nights while visiting Bangkok. The hostel itself is small but the rooms are comfortable to fit three people and all our luggage. They offer breakfast every morning for an additional charge but we enjoyed the chicken and pork soup as well as the fried rice we ordered for our breakfast. The front desk staff were extremely helpful and polite. They helped teach us some Thai phrases and helped us get to the Chatuchak Weekend Market. They also helped orchestrate phone calls to get us to our next destination. I would recommend staying here if you have the chance!,"HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Mar 2019,50,Solid choice near DMK,Reasonably priced clean and mostly quiet accommodation. Our second time staying here. staff helped getting our heavy suitcase upstairs as there is no lift. Scheduled airport drop off is free of charge and takes the stress off getting to airport on time. Our go to place if landing at DMK from this point on. Note that there is cheap A/C bus to downtown or Suvarnabhumi Intl airport. Premium room is quieter than standard room but overall both were quite satisfactory especially for one or two nights.,"HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Dec 2018,50,Stay here,"If you are looking for a transit hotel close to Don Mueang look no further. This hostel is the best. A small hidden gem. Close to 7/11 and Thai food stalls, restaurants, market and coffee around the corner. Good wifi. Airport is 15 minute drive. The staff is amazing, the breakfast good. We stayed for 3 nights in a private room. Theres only thing but for us that is no problem: there is No elevator.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Sep 2018,40,"Great place, but really bad smell in the bathroom","Super friendly staff. Very clean and well appointed room. We stayed in deluxe room with it's own bathroom and it was very clean and modern. But we hated the bad smell coming from the bathroom, which was impossible to get rid off. The breakfast and shuttle service were very well organized and the food was very good. We ate dinner directly across the street and there is a convenience store very close by.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 May 2018,50,Perfect. Clean!,"I would stay here again and recommend it for sure.    Awesome for quick flight layover!! Chose this place because the reviews were good and it’s location was close.  Our private queen bed was great. Quiet, 2nd floor, clean and stocked with 2 water bottles. Thank you. The bathroom was clean and new and it had a shower curtain, hurray!!!!! Didn’t have the breakfast the next morning but there’s a 7-11 directly across the street. Also there’s a local Thai restaurant across the street which is amazing!! Totally good food.    The taxi to the hostel was 110baht. The free shuttle ride to the airport the next day was awesome. They ask you at check in what time your flight is and what time you want to leave. Our shuttle driver was on his phone the whole time, but it was quick and it’s fine.    I would 100% stay here again and recommend this hostel to anyone. It’s better than a hotel honestly.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2018,50,One night near Donmuang airport,"We arrived by late flight at night and have to kill some time to catch the another flight tomorrow. Its 10 mins taxi ride from the airport cost 100 baht and the hostel charge 650 baht for double room with attached bathroom. It is the hostel and it has per person rate also. The room is clean and the building is well organised. It also offer free drop off service to airport and that is a plus. 7/11 store is 3 mins walk in the street. Overall, it is the great place to sleep near Donmuang airport.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2018,50,would stay again,"it was a decent hostel. The room was clean and new. Air-con was good, water was hot, bed was fine. The location is good and transfer service was a plus. there were multiple restaurants around and 7-11 was in the distance. 24 hours surveillance. I would go there again.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Feb 2018,40,One night stay transfer airport,Nice hostel very clean good quality price will highly recommend it !! Modern touch as well. Access to computer reception very helpfull!! Only down side there driver who took us to airport was unfriendly and kept texting the all way to airport . No say hi but hopefully management will take action if they care about their client.,"HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Feb 2018,30,"Good room for the price, but extremely noisy","The hostel is conveniently located near the airport and the rooms are comfortable and very clean. However, the soundproofing is nonexistent. The street noise is absolutely horrible, and we were also lucky to have drunk and cheerful neighbours. No sleep whatsoever. There is also no lift, and the better rooms are located on the upper floor. Free shuttle taxi to the airport is a plus, so is the simple, but freshly prepared breakfast. Overall, I'd give it a miss next time.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Jan 2018,40,Very close to local airport and surprisingly comfortable,We reserved for one night to catch a flight to Phuket after 28 hours of transit from Canada. The bed is really comfortable and the sheets are nice and soft. The hotel and rooms are very clean and service is good. I would come again.,"HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Jan 2018,40,Good Place for short Stay near Airport,"Easy to find, Rooms of decent size, Good Wifi, Location is ok, Shops and simple Restaurants nearby. Not too far from Central Chaengwattana Shopping Mall. Staff friendly and helpful. Breakfast to order.Transport from Hotel to Airport very smooth.Can only recommend.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Nov 2017,50,Wonderful place to stay,"I will give 5 starts to hoppers place donmuang hostel, its very neat, clean and very hygienic place .    I strongly recommend you to stay at hoppers place donmuang hostel in Bangkok.    I’ve travelled in November 2017 with advance booking through booking.com and they’ve charged me 390 baht for one night stay, no hidden charges at all.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Nov 2017,50,Nice and clean,"We only stayed overnight as we had a flight to Yangon from Don Mueang Airport the next day. It’s a nice, clean hostel kept pristine by the staff. They have free wifi with good speed. Hot water for showers also available and you can even adjust the temperature to suit your taste. No breakfast typically included with your room but you can opt to purchase (70 baht only), just tell the staff. Free tea and coffee at the lobby. The place also offers dorm-type accomodation.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Nov 2017,50,The staffs are superbly awesome!,"I lowered down my expectation when I booked this room as it's just a basic hostel and I booked a dorm room. I went late check-in and they were OK with that. Superbly nice and I really love the girl with the purple hair at the front desk. She's very helpful and full of smile. One thing is, the hostel is really close to Don Mueang Airport. And because I'm having a super early flight to Bali, this place helped me a lot to arrive on time. Definitely worth to book!","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Sep 2017,50,Super for overnight near by Don Muang airport,"Very near by airport, perfect clean, good bed, aircon is ok and quiet, hot water is hot, we had room with bathroom, clean, complimentary toothbrush and toothpaste for one use, complimentary bottled water in room, free coffee, tea, water and small biscuits on reception, also microwave is available, free shuttle each hour to airport (approximately 10min), very friendly and helpful staff, strongly recommend!!! Many shops, restaurants and 7/11 just a few steps by hostel. If you arrive on Suvarnabhumi, take free shuttle bus to Don Muang (just show flight ticket and go free) and there go walking or take taxi for a few THB. Time between airports is 1 hour without traffic!!!","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Sep 2017,50,Friendly and accomodating,"Our flight got delayed and before we flew off, I sent them a text on FB to inform them. The staff welcomed us when we were there, even though it is past midnight. Space was big, shower was hot, aircon was working well. No complains for the price. Though there isn't any breakfast shop nearby, we ordered from the hotel. Price was 50-70 baht.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Aug 2017,50,Awesome place and very friendly staff,"We stayed here for a night close to the airport. We had taken a private room. The staff were very friendly. We wanted to proceed to Khao yai and they took all the pain to find possible routes. If you want to catch a train to ayutthaya or north, this is place to stay since it is close to the station next to airport. breakfast was good. The room was also spacious enough for two. Loved the hospitality","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Aug 2017,40,Nice little hotel in don muang,"Stay here 1 night before heading to khao yao next day. Hostel environment cozy, room is clean, friendly and helpful staffs. It can't go wrong choosing this hostel for short stay in Don muang. Overall is good and value for money.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2017,40,Good place for overnight stay don muang,This was a very nice n cozy place near the airport. The food is good. You get free WiFi and amazing free coffee. Just Bunked up here for 1 night. Will surely recommend. The people are friendly. Cab drivers will try to cheat and ask money. It is complimentary.,"HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2017,40,Great one before morning flight,"We stayed there for one night. Rooms and bathroom are clean and comfy, nice Staff and free transfer to Don Mueang airport (although 7am car depart 7:15, because driver put us to the car and disappear, which was quite annoying..). Anyway, good place to stay if you have a morning flight.","HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
 Apr 2017,50,"Great location, amazing staff",This is a perfect hotel close to Don Muang airport. They served a nice home cooked breakfast and had a shuttle to and from the airport. We were flying to Myanmar and were worried about our weight limit so they were kind enough to let us leave a bag and pick it up on our return. Nice room with a good AC. Bed was firm.,"HOPPERS PLACE DONMUANG HOSTEL $16 ($̶2̶2̶) - Prices & Lodge Reviews - Bangkok, Thailand - Tripadvisor",13.915066,100.585876
